Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C16, C2, C21, C3, C37, C4, C40, C42, C45, C48, C5, C52, C54, C55, C56, C57, C58, C59, C6, C7, C70, C71, C8, C9",0603,29,100n,
"C13, C23, C28",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,3,47u,
"C17, C20, C46, C47",0603,4,0u1,
"C19, C27",0603,2,1u,
"C22, C50, C60, C61",0603,4,20p,
"C24, C25, C26, C29, C30",1206,5,10u,
"C36, C39, C41, C44, C51, C53, C63, C64, C65, C76, C78",0603,11,10u,
"C38, C43",0603,2,10n,
"D1, D2, D3",SOT-23,3,NUP2105L,
"D10, D11",0603,2,LED,
D12,D_SMF,1,3V3 TVS,
"D14, D6",D_SMF,2,K34,
D22,0603,1,3V3,
D23,0603,1,ACT,
D4,D_SMC,1,SMCJ28A,
D5,D_SMA,1,SMAJ5.0A,
D8,SOT-23,1,SM712,
F1,1206,1,Fuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,M3.2 Mount,
J1,BTB_P0.8mm_2x40pin_F,1,BTB,
J2,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,RS-485,
J20,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,PWRIn,
J22,PinHeader_1x03_P2.54mm_Vertical,1,D-Bus,
J28,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,SWD,
J3,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CAN1,
J4,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CAN2,
J5,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CAN3,
J6,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,UART1A,
J7,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,UART5,
L1,L_Sunlord_MWSA0402S,1,6u8,
L2,0603,1,220r,
L3,L_Sunlord_MWSA0402S,1,4u7,
Q4,SOT-23,1,AO3400A,
"R1, R10, R12, R15, R16, R17, R51, R52",0603,8,1k,
"R11, R21, R22, R24, R25, R26, R32, R54, R59, R61, R9",0603,11,10k,
"R18, R19, R31, R57, R58, R60",0603,6,330R,
"R2, R3, R4, R6",0603,4,120R,
R20,0603,1,47k,
R23,0603,1,54k6,
"R5, R7",0603,2,4k7,
R62,1206,1,(36R),
R8,0603,1,33R,
"RN1, RN12, RN13, RN19, RN2, RN20, RN21, RN3, RN4, RN5",R_Array_Concave_4x0603,10,82R,
SW1,Panasonic_EVQPUL_EVQPUC,1,NRST,
SW2,Panasonic_EVQPUL_EVQPUC,1,BOOT0,
SW4,Panasonic_EVQPUL_EVQPUC,1,BTN,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32G473VETx,
"U10, U11",SOT-23-5,2,RS3236,
"U12, U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,3,TJA1042T-3,
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,SN75176AD,
U14,SOT-23-5,1,RY3430,
"U16, U17",TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,CH343P,
U2,PQFN50P300X250X97-14N,1,ICM-42688-P,
U3,XDCR_LIS3MDLTR,1,LIS3MDLTR,
"U5, U6",SOT-363_SC-70-6,2,TPD4E1U06DCKR,
U8,SOT-23-6,1,RY8411,
U9,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25Q32JVZP,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225 25MHz,
