Designator,Mid X,Mid Y,Rotation,Layer
C1,139.25,-142.5,90.0,bottom
C10,111.5,-114.25,270.0,bottom
C11,122.0,-114.25,270.0,bottom
C12,120.25,-120.25,270.0,bottom
C13,122.75,-142.75,90.0,top
C14,150.0,-138.0,180.0,bottom
C16,109.0,-121.75,180.0,bottom
C17,144.75,-113.25,270.0,bottom
C19,143.25,-121.25,270.0,bottom
C2,140.75,-142.5,90.0,bottom
C20,149.0,-117.5,270.0,bottom
C21,110.5,-139.0,90.0,bottom
C22,104.0,-143.175,90.0,bottom
C23,113.75,-145.5,0.0,bottom
C24,108.75,-142.25,0.0,bottom
C25,108.75,-146.75,0.0,bottom
C26,108.75,-144.5,0.0,bottom
C27,147.5,-125.5,270.0,bottom
C28,113.75,-147.5,0.0,bottom
C29,102.75,-139.25,270.0,bottom
C3,142.25,-142.5,90.0,bottom
C30,105.0,-139.25,270.0,bottom
C36,132.0,-113.25,270.0,bottom
C37,130.5,-113.25,270.0,bottom
C38,127.75,-115.75,180.0,bottom
C39,123.5,-113.25,270.0,bottom
C4,137.75,-142.5,90.0,bottom
C40,125.0,-113.25,270.0,bottom
C41,142.0,-138.25,270.0,bottom
C42,143.25,-135.25,90.0,bottom
C43,146.75,-141.0,270.0,bottom
C44,144.5,-141.75,180.0,bottom
C45,144.5,-143.25,180.0,bottom
C46,149.0,-125.5,270.0,bottom
C47,144.75,-121.25,270.0,bottom
C48,136.5,-135.0,45.0,top
C5,126.75,-144.25,270.0,bottom
C50,119.25,-140.0,0.0,bottom
C51,118.0,-148.0,180.0,bottom
C52,117.5,-132.25,225.0,bottom
C53,118.0,-146.5,180.0,bottom
C54,126.5,-118.5,315.0,bottom
C55,132.75,-122.5,270.0,top
C56,137.5,-136.0,45.0,top
C57,122.25,-137.0,225.0,bottom
C58,132.0,-140.75,135.0,bottom
C59,140.25,-127.5,45.0,bottom
C6,102.5,-114.25,270.0,bottom
C60,139.0,-123.25,135.0,bottom
C61,135.0,-119.25,315.0,bottom
C63,124.5,-140.75,90.0,bottom
C64,123.0,-140.75,90.0,bottom
C65,121.5,-140.75,90.0,bottom
C7,113.0,-114.25,270.0,bottom
C70,101.5,-123.75,180.0,bottom
C71,97.75,-141.5,270.0,bottom
C76,104.75,-131.25,270.0,top
C78,118.5,-141.5,270.0,top
C8,111.25,-120.25,270.0,bottom
C9,103.25,-140.75,0.0,top
D1,112.0,-119.5,90.0,top
D10,152.25,-119.25,270.0,top
D11,152.25,-123.75,270.0,top
D12,120.5,-140.75,90.0,top
D14,115.0,-140.75,270.0,top
D2,125.5,-119.5,90.0,top
D22,152.25,-132.75,270.0,top
D23,152.25,-128.25,270.0,top
D3,118.75,-119.5,90.0,top
D4,107.25,-132.0,90.0,bottom
D5,125.75,-143.75,90.0,top
D6,113.75,-143.25,180.0,bottom
D8,105.25,-119.5,90.0,top
F1,101.5,-135.75,180.0,bottom
J1,129.0,-130.0,0.0,top
J2,105.25,-113.0,0.0,top
J20,98.0,-130.0,90.0,top
J22,102.5,-129.985,0.0,top
J28,115.75,-147.0,0.0,top
J3,112.0,-113.0,0.0,top
J4,125.5,-113.0,0.0,top
J5,118.75,-113.0,0.0,top
J6,144.0,-113.0,0.0,top
J7,136.0,-113.0,0.0,top
L1,113.75,-139.25,270.0,bottom
L2,135.5,-137.0,315.0,top
L3,123.0,-145.25,90.0,bottom
Q4,138.0,-141.75,0.0,top
R1,126.75,-147.25,270.0,bottom
R10,150.75,-123.75,270.0,top
R11,103.0,-125.25,180.0,bottom
R12,106.0,-125.25,180.0,bottom
R15,117.75,-139.25,0.0,top
R16,117.75,-137.75,180.0,top
R17,150.75,-119.25,270.0,top
R18,147.5,-117.5,270.0,bottom
R19,143.25,-113.25,270.0,bottom
R2,112.0,-116.75,0.0,top
R20,119.25,-141.5,0.0,bottom
R21,117.0,-140.75,90.0,bottom
R22,117.0,-141.5,90.0,top
R23,105.5,-143.175,90.0,bottom
R24,134.25,-114.0,180.0,bottom
R25,134.25,-112.5,180.0,bottom
R26,102.5,-143.175,270.0,bottom
R3,125.5,-116.75,0.0,top
R31,103.25,-142.25,0.0,top
R32,103.25,-143.75,0.0,top
R4,118.75,-116.75,0.0,top
R5,108.25,-119.5,90.0,bottom
R51,150.75,-128.25,270.0,top
R52,150.75,-132.75,270.0,top
R54,142.25,-141.75,270.0,top
R57,140.75,-141.75,270.0,top
R58,99.25,-123.0,90.0,bottom
R59,97.75,-123.0,90.0,bottom
R6,105.25,-116.75,0.0,top
R60,99.25,-141.5,270.0,bottom
R61,100.75,-141.5,90.0,bottom
R62,132.5,-147.25,0.0,top
R7,109.75,-119.5,270.0,bottom
R8,113.5,-127.75,0.0,bottom
R9,99.3,-118.75,270.0,bottom
RN1,115.0,-134.5,270.0,bottom
RN12,123.0,-119.25,0.0,bottom
RN13,113.5,-125.0,270.0,bottom
RN19,133.0,-117.25,45.0,bottom
RN2,140.5,-133.5,315.0,bottom
RN20,143.5,-124.75,270.0,bottom
RN21,139.5,-117.0,270.0,bottom
RN3,137.75,-136.25,315.0,bottom
RN4,146.0,-129.0,270.0,bottom
RN5,146.0,-134.0,270.0,bottom
SW1,98.25,-120.75,90.0,top
SW2,98.25,-139.25,90.0,top
SW4,105.75,-146.75,180.0,top
U1,129.0,-130.0,225.0,bottom
U10,127.75,-113.25,180.0,bottom
U11,144.5,-139.0,90.0,bottom
U12,115.75,-120.25,90.0,bottom
U13,103.75,-120.25,90.0,bottom
U14,118.5,-144.0,180.0,bottom
U16,148.25,-121.5,90.0,bottom
U17,144.0,-117.25,90.0,bottom
U2,132.5,-147.25,0.0,bottom
U3,142.5,-147.25,90.0,bottom
U4,107.0,-114.25,90.0,bottom
U5,112.0,-134.5,270.0,bottom
U6,144.0,-120.5,0.0,top
U7,117.5,-114.25,90.0,bottom
U8,108.0,-139.0,270.0,bottom
U9,151.0,-132.25,270.0,bottom
Y1,137.0,-121.25,45.0,bottom
