Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MLT-9032,1,Buzzer,
"C1, C13, C25, C26, C27, C28, C29, C30, C31, C32, C33, C5, C6, C7, C8",0603,15,100n,
"C10, C11, C12, C2, C39, C9",0603,6,10u,
"C14, C17, C35, C38",CP_Radial_D6.3mm_P2.50mm,4,C_Polarized,
C15,0603,1,10n,
C16,0603,1,15n,
C18,0603,1,2.2u,
C19,1206,1,C,
C20,0603,1,470n,
"C21, C22",0603,2,100p,
"C23, C24, C3, C36, C37, C4",1206,6,10u,
C34,0603,1,47p,
C40,0603,1,20p,
"D1, D10, D6, D9",D_SMF,4,SMF10A,
"D11, D13, D14, D17, D2, D8",D_SMF,6,DSS34,
"D12, D15, D16, D18, D19, D20, D24, D25, D26, D27, D28, D29",0603,12,LED,
"D21, D3, D5",D_SMF,3,K34,
D22,D_SMA,1,DSS34,
D23,D_SMC,1,SMC,
D4,D_SMF,1,SMF3V3A,
D7,D_SMF,1,D_Schottky,
F1,1206,1,8A 1206,
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3_DIN965_Pad,6,MountingHole,
J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,USB,
J10,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,CAN3,
"J11, J12, J13",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,3,CAN2,
J14,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,SWD,
J15,BTB_P0.8mm_2x40pin_M,1,BTB,
"J16, J18, J19, J20, J23, J24",JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,6,Conn_01x03_MountingPin,
"J17, J28, J29, J34",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4,Conn_01x02,
"J2, J27",AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,Relay_1,
"J21, J31, J35",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,3,Conn_01x03,
J25,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04_MountingPin,
J26,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,PWR_IN,
J3,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,UART1A,
J4,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,UART5,
"J5, J9",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,RS-485,
"J6, J7",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,CAN1,
J8,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Laser ,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ID0,
JP2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ID1,
JP3,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ID3,
L1,L_Sunlord_MWSA0603S,1,L,
L2,L_Wuerth_HCI-1040,1,4.7u,
"Q1, Q12, Q4, Q7, Q8, Q9",SOT-23,6,AO3400A,
"Q10, Q2",DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm,2,NCE40P20Q,
"Q11, Q5",TDSON-8-1_HandSolder,2,BSC070N10NS5,
"Q3, Q6",SOT-23,2,SI2300,
"R1, R10, R11, R12, R9",0603,5,4k7,
"R13, R14, R16, R18, R22, R23, R25, R3, R57, R58, R62, R63",0603,12,10k,
"R15, R24, R26, R29, R32, R35",0603,6,330,
"R17, R48, R49, R50, R52, R53, R54, R55",0603,8,4.7K,
"R19, R47",0603,2,1.13k,
"R2, R6, R7",0603,3,33R,
"R20, R56",0603,2,73.2k,
"R21, R27, R28, R30, R31, R33, R34, R36, R51, R61, R65",0603,11,100k,
"R37, R38, R39, R40, R41, R42, R43, R44",0603,8,200k,
"R4, R5, R59, R64, R8",0603,5,330R,
"R45, R46, R60",0603,3,240k,
"RN1, RN2",R_Array_Concave_4x0603,2,33R,
SW1,SW_SPST_TL3342,1,BOOT0,
SW2,SW_SPST_TL3342,1,NRST,
SW3,SW_SPST_TL3342,1,BTN,
"U1, U2, U3",SOT-363_SC-70-6,3,TPD4E1U06DCKR,
"U10, U6, U7, U8",pressure_sensor,4,~,
U4,TI_SO-PowerPAD-8_ThermalVias,1,TPS5450,
U5,HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm,1,LM3150MH,
U9,TSSOP-14_4.4x5mm_P0.65mm,1,GS8554,
