Designator,Mid X,Mid Y,Rotation,Layer
BZ1,39.82,0.98,270.0,bottom
C1,32.5,16.9,90.0,bottom
C10,38.0,14.1,180.0,bottom
C11,27.8,23.3,90.0,bottom
C12,36.3,5.4,180.0,bottom
C13,9.6,-37.1,90.0,bottom
C14,28.617621,-20.51762,90.0,top
C15,5.2,-40.5,180.0,bottom
C16,22.017621,-24.1,180.0,top
C17,-2.6,-43.3,180.0,top
C18,16.617621,-21.875,90.0,top
C19,-2.6,-40.9,0.0,bottom
C2,-3.7,0.2,180.0,bottom
C20,20.0,-14.7,0.0,top
C21,23.8,-36.0,270.0,bottom
C22,14.37,-36.17,270.0,bottom
C23,34.1,-37.4,180.0,bottom
C24,19.0,-42.3,180.0,bottom
C25,8.04,-18.025,270.0,bottom
C26,9.4,-13.9,90.0,bottom
C27,8.4,-21.2,0.0,bottom
C28,8.64,-11.525,180.0,bottom
C29,3.1,-22.6,90.0,bottom
C3,23.017621,-19.5,0.0,bottom
C30,3.8,-11.1,0.0,bottom
C31,0.9,-18.325,90.0,bottom
C32,-0.76,-13.75,270.0,bottom
C33,4.6,-21.9,90.0,bottom
C34,22.010218,-22.151808,0.0,bottom
C35,30.01762,-13.7,180.0,top
C36,28.817621,-11.3,0.0,bottom
C37,27.667621,-7.1,90.0,bottom
C38,30.017621,-6.7,90.0,top
C39,33.5,-4.6,270.0,bottom
C4,11.5,-36.8,90.0,bottom
C40,41.3,-0.5,90.0,top
C5,2.6,12.9,90.0,bottom
C6,8.9,0.5,0.0,bottom
C7,2.7,4.3,0.0,bottom
C8,19.017621,-24.1,0.0,top
C9,27.1,-1.7,270.0,bottom
D1,27.3,-35.2,270.0,top
D10,15.9,-35.4,270.0,top
D11,19.1,-44.6,180.0,bottom
D12,-5.45,-13.6,90.0,top
D13,-6.4,-29.0,270.0,bottom
D14,-6.2,-36.6,270.0,bottom
D15,-5.4,-29.0,90.0,top
D16,-5.3,-37.3,90.0,top
D17,-6.8,-20.5,270.0,bottom
D18,-5.4,-20.4,90.0,top
D19,21.6,-37.0,180.0,top
D2,33.6,-42.6,180.0,bottom
D20,36.7,-36.9,180.0,top
D21,43.9,0.75,90.0,top
D22,33.8,-9.8,270.0,bottom
D23,39.7,-28.6,270.0,bottom
D24,28.744479,-29.999175,90.0,top
D25,1.7,-34.45,270.0,top
D26,27.25,-30.0,90.0,top
D27,-0.7,6.65,0.0,top
D28,-0.7,5.1,0.0,top
D29,45.8,3.6,270.0,top
D3,31.0,22.9,180.0,bottom
D4,-4.7,-2.95,270.0,bottom
D5,-8.2,-1.6,180.0,bottom
D6,17.3,-19.2,180.0,bottom
D7,10.8,-37.25,90.0,top
D8,-6.6,-13.6,270.0,bottom
D9,23.167621,-8.85,0.0,bottom
F1,30.690278,-26.229204,90.0,bottom
J1,34.725,26.0,180.0,top
J10,10.4,26.1,0.0,top
J11,10.4,18.6,0.0,top
J12,17.15,26.1,0.0,top
J13,17.15,18.6,0.0,top
J14,-6.6,-0.6,0.0,top
J15,20.9,9.6,0.0,top
J16,12.45,10.95,180.0,top
J17,-8.95,-20.7,270.0,top
J18,20.748754,10.943772,180.0,top
J19,28.982887,10.92094,180.0,top
J2,33.5,-46.25,180.0,top
J20,37.25,10.95,180.0,top
J21,37.65,-8.2,270.0,top
J23,28.987873,4.317657,0.0,top
J24,37.253572,4.328388,0.0,top
J25,20.145216,4.323571,0.0,top
J26,39.965278,-28.829204,270.0,top
J27,19.1,-46.25,180.0,top
J28,-8.95,-28.9,270.0,top
J29,-8.9,-36.5,270.0,top
J3,24.65,18.6,0.0,top
J31,43.2,-17.1,270.0,top
J34,-8.95,-13.7,270.0,top
J35,37.65,-17.1,270.0,top
J4,24.65,26.1,0.0,top
J5,3.65,18.6,0.0,top
J6,-3.1,26.1,0.0,top
J7,3.65,26.1,0.0,top
J8,35.8,18.4,180.0,top
J9,-3.1,18.6,0.0,top
L1,5.2,-42.5,180.0,top
L2,20.482621,-8.5925,0.0,top
Q1,37.2,18.7,270.0,bottom
Q10,29.895,-36.01,180.0,bottom
Q11,23.202621,-14.1925,180.0,bottom
Q12,40.85,7.35,180.0,bottom
Q2,18.56,-35.375,180.0,bottom
Q3,24.1625,-32.8,180.0,top
Q4,-11.199796,-15.301847,90.0,bottom
Q5,17.417621,-14.15,0.0,bottom
Q6,12.5,-28.5375,270.0,top
Q7,-11.25,-38.5,90.0,bottom
Q8,-11.0,-30.1875,90.0,bottom
Q9,-11.05,-22.4,90.0,bottom
R1,41.6,16.5,90.0,bottom
R10,16.7,-0.5,270.0,top
R11,27.05,18.9,270.0,bottom
R12,17.9,19.35,270.0,bottom
R13,25.3,-36.025,270.0,top
R14,25.3,-36.0,90.0,bottom
R15,21.9,-29.6,0.0,top
R16,18.875,-29.6,180.0,top
R17,32.7,-2.3,180.0,bottom
R18,0.4,-35.7,90.0,bottom
R19,2.6,-33.3,180.0,bottom
R2,39.2,15.7,0.0,bottom
R20,23.9,-21.8,270.0,top
R21,-3.9,-13.6,90.0,top
R22,15.87,-36.17,90.0,bottom
R23,13.4,-36.3,270.0,top
R24,12.7,-25.7375,180.0,top
R25,15.0,-27.2375,270.0,top
R26,-11.175,-11.1,0.0,bottom
R27,-11.075,-27.1875,180.0,bottom
R28,-11.21359,-12.612782,180.0,bottom
R29,-11.1,-25.5875,0.0,bottom
R3,-7.5,1.1,90.0,bottom
R30,-3.9,-29.0,90.0,top
R31,-3.8,-37.3,90.0,top
R32,-11.45,-34.0,0.0,bottom
R33,-11.375,-35.7,180.0,bottom
R34,-3.9,-20.4,90.0,top
R35,-11.2,-18.1,0.0,bottom
R36,-11.2,-19.6625,180.0,bottom
R37,9.55,-18.025,270.0,bottom
R38,7.9,-13.9,90.0,bottom
R39,8.4,-22.83,0.0,bottom
R4,1.0,12.9,90.0,bottom
R40,8.64,-10.025,180.0,bottom
R41,1.6,-22.6,90.0,bottom
R42,3.8,-9.6,0.0,bottom
R43,-0.6,-18.325,90.0,bottom
R44,0.84,-13.75,270.0,bottom
R45,18.575,-37.0,180.0,top
R46,33.7,-36.9,180.0,top
R47,23.0,-14.7,180.0,top
R48,25.5,25.2,180.0,bottom
R49,25.875,16.3,180.0,bottom
R5,8.9,2.0,180.0,bottom
R50,29.0,0.7,0.0,bottom
R51,34.2,1.6,270.0,bottom
R52,12.0,14.5,180.0,bottom
R53,20.3,14.1,180.0,bottom
R54,28.4,14.7,180.0,bottom
R55,34.9,13.9,0.0,bottom
R56,22.010218,-23.751808,0.0,bottom
R57,18.985218,-22.151808,0.0,bottom
R58,39.05,10.6,90.0,bottom
R59,40.6,10.55,90.0,bottom
R6,14.45,-1.25,0.0,top
R60,28.75,-28.5,270.0,bottom
R61,1.7,-37.45,90.0,top
R62,26.3,-29.15,180.0,bottom
R63,-0.3,6.6,180.0,bottom
R64,-0.3,5.1,180.0,bottom
R65,43.5,4.4,180.0,top
R7,14.45,0.25,0.0,top
R8,2.675,5.8,0.0,bottom
R9,12.2,-0.5,90.0,top
RN1,22.5,4.7,180.0,bottom
RN2,28.3,3.1,180.0,bottom
SW1,3.0,10.7,0.0,top
SW2,11.124048,4.61169,180.0,top
SW3,3.8,3.3,90.0,top
U1,21.15,-0.65,270.0,top
U10,5.0,-4.616,90.0,top
U2,22.6,1.7,0.0,bottom
U3,32.0,1.5,270.0,bottom
U4,5.0,-36.9,180.0,bottom
U5,20.285218,-19.414308,0.0,top
U6,3.512,-29.023,270.0,top
U7,4.208,-12.673,90.0,top
U8,4.171945,-20.718886,90.0,top
U9,4.39,-16.1875,0.0,bottom
