Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C7",0603,4,100n,
"C10, C11, C12, C13, C2, C3, C4, C9",0603,8,10u,
C14,0603,1,20p,
C8,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,47u,
"D1, D4, D5, D6",D_SMF,4,K34,
D2,LED_RGB_5050-6,1,LED_RGB,
D3,D_SMF,1,SMF5V0A,
F1,1206,1,Fuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,
"J1, J2",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,USB,
J10,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,CAN3,
"J11, J12, J13",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,3,CAN2,
J14,Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical,1,SWD,
J15,BTB_P0.8mm_2x40pin_M,1,BTB,
"J16, J18, J19, J20, J23",JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,5,Conn_01x03_MountingPin,
J17,JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical,1,Conn_01x07_MountingPin,
"J21, J25",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,2,Conn_01x04_MountingPin,
J3,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,UART1A,
J4,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,UART5,
"J5, J9",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,RS-485,
"J6, J7",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,CAN1,
J8,Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical,1,Laser ,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ID0,
JP2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ID1,
JP3,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ID3,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,AO3400A,
"R1, R10, R11, R12, R9",0603,5,4k7,
"R13, R3",0603,2,10k,
"R14, R4, R5, R8",0603,4,330R,
"R16, R18, R20",0603,3,330,
"R2, R6, R7",0603,3,33R,
"RN1, RN2",R_Array_Concave_4x0603,2,33R,
SW4,SW_SPST_PTS810,1,BOOT0,
SW5,SW_SPST_PTS810,1,NRST,
SW6,SW_SPST_PTS810,1,BTN,
"U1, U2, U3",SOT-363_SC-70-6,3,TPD4E1U06DCKR,
